"","empirical"
"709","ENSG00000089048"
"710","ENSG00000089053"
"711","ENSG00000089060"
"712","ENSG00000089091"
"713","ENSG00000089094"
"714","ENSG00000089154"
"715","ENSG00000089157"
"716","ENSG00000089163"
"717","ENSG00000089280"
"718","ENSG00000089289"
"719","ENSG00000089327"
"720","ENSG00000089335"
"721","ENSG00000089351"
"722","ENSG00000089472"
"723","ENSG00000089682"
"724","ENSG00000089737"
"725","ENSG00000089818"
"726","ENSG00000090013"
"727","ENSG00000090104"
"728","ENSG00000090339"
"729","ENSG00000090372"
"730","ENSG00000090432"
"731","ENSG00000090447"
"732","ENSG00000090470"
"733","ENSG00000090534"
"734","ENSG00000090539"
"735","ENSG00000090565"
"736","ENSG00000090581"
"737","ENSG00000090621"
"738","ENSG00000090674"
"739","ENSG00000090686"
"740","ENSG00000090857"
"741","ENSG00000090863"
"742","ENSG00000090989"
"743","ENSG00000091039"
"744","ENSG00000091073"
"745","ENSG00000091137"
"746","ENSG00000091138"
"747","ENSG00000091157"
"748","ENSG00000091262"
"749","ENSG00000091409"
"750","ENSG00000091428"
"751","ENSG00000091436"
"752","ENSG00000091490"
"753","ENSG00000091622"
"754","ENSG00000091640"
"755","ENSG00000091844"
"756","ENSG00000091879"
"757","ENSG00000091947"
"758","ENSG00000091986"
"759","ENSG00000092020"
"760","ENSG00000092036"
"761","ENSG00000092098"
"762","ENSG00000092140"
"763","ENSG00000092148"
"764","ENSG00000092200"
"765","ENSG00000092208"
"766","ENSG00000092330"
"767","ENSG00000092439"
"768","ENSG00000092445"
"769","ENSG00000092841"
"770","ENSG00000092847"
"771","ENSG00000092850"
"772","ENSG00000092929"
"773","ENSG00000092969"
"774","ENSG00000093010"
"775","ENSG00000093144"
"776","ENSG00000093183"
"777","ENSG00000094755"
"778","ENSG00000094963"
"779","ENSG00000095015"
"780","ENSG00000095059"
"781","ENSG00000095203"
"782","ENSG00000095209"
"783","ENSG00000095319"
"784","ENSG00000095397"
"785","ENSG00000095485"
"786","ENSG00000095539"
"787","ENSG00000095574"
"788","ENSG00000095596"
"789","ENSG00000095787"
"790","ENSG00000095794"
"791","ENSG00000095906"
"792","ENSG00000095917"
"793","ENSG00000095951"
"794","ENSG00000096070"
"795","ENSG00000096088"
"796","ENSG00000096433"
"797","ENSG00000096717"
"798","ENSG00000096968"
"799","ENSG00000097033"
"800","ENSG00000099194"
"801","ENSG00000099203"
"802","ENSG00000099250"
"803","ENSG00000099251"
"804","ENSG00000099284"
"805","ENSG00000099290"
"806","ENSG00000099308"
"807","ENSG00000099330"
"808","ENSG00000099331"
"809","ENSG00000099338"
"810","ENSG00000099341"
"811","ENSG00000099381"
"812","ENSG00000099624"
"813","ENSG00000099625"
"814","ENSG00000099783"
"815","ENSG00000099785"
"816","ENSG00000099795"
"817","ENSG00000099804"
"818","ENSG00000099810"
"819","ENSG00000099814"
"820","ENSG00000099817"
"821","ENSG00000099849"
"822","ENSG00000099860"
"823","ENSG00000099875"
"824","ENSG00000099910"
"825","ENSG00000099954"
"826","ENSG00000099958"
"827","ENSG00000099960"
"828","ENSG00000099977"
"829","ENSG00000099991"
"830","ENSG00000099994"
"831","ENSG00000099995"
"832","ENSG00000099999"
"833","ENSG00000100003"
"834","ENSG00000100014"
"835","ENSG00000100023"
"836","ENSG00000100027"
"837","ENSG00000100033"
"838","ENSG00000100036"
"839","ENSG00000100055"
"840","ENSG00000100056"
"841","ENSG00000100058"
"842","ENSG00000100075"
"843","ENSG00000100077"
"844","ENSG00000100083"
"845","ENSG00000100084"
"846","ENSG00000100097"
"847","ENSG00000100124"
"848","ENSG00000100129"
"849","ENSG00000100139"
"850","ENSG00000100142"
"851","ENSG00000100146"
"852","ENSG00000100150"
"853","ENSG00000100170"
"854","ENSG00000100181"
"855","ENSG00000100206"
"856","ENSG00000100209"
"857","ENSG00000100221"
"858","ENSG00000100225"
"859","ENSG00000100226"
"860","ENSG00000100227"
"861","ENSG00000100228"
"862","ENSG00000100234"
"863","ENSG00000100243"
"864","ENSG00000100263"
"865","ENSG00000100266"
"866","ENSG00000100284"
"867","ENSG00000100285"
"868","ENSG00000100296"
"869","ENSG00000100299"
"870","ENSG00000100300"
"871","ENSG00000100311"
"872","ENSG00000100316"
"873","ENSG00000100321"
"874","ENSG00000100324"
"875","ENSG00000100325"
"876","ENSG00000100335"
"877","ENSG00000100336"
"878","ENSG00000100344"
"879","ENSG00000100345"
"880","ENSG00000100346"
"881","ENSG00000100347"
"882","ENSG00000100351"
"883","ENSG00000100353"
"884","ENSG00000100354"
"885","ENSG00000100360"
"886","ENSG00000100365"
"887","ENSG00000100368"
"888","ENSG00000100376"
"889","ENSG00000100379"
"890","ENSG00000100380"
"891","ENSG00000100393"
"892","ENSG00000100395"
"893","ENSG00000100399"
"894","ENSG00000100403"
"895","ENSG00000100412"
"896","ENSG00000100417"
"897","ENSG00000100422"
"898","ENSG00000100425"
"899","ENSG00000100439"
"900","ENSG00000100441"
"901","ENSG00000100448"
"902","ENSG00000100461"
"903","ENSG00000100473"
"904","ENSG00000100478"
"905","ENSG00000100485"
"906","ENSG00000100504"
"907","ENSG00000100519"
"908","ENSG00000100532"
"909","ENSG00000100564"
"910","ENSG00000100568"
"911","ENSG00000100575"
"912","ENSG00000100592"
"913","ENSG00000100599"
"914","ENSG00000100601"
"915","ENSG00000100603"
"916","ENSG00000100605"
"917","ENSG00000100614"
"918","ENSG00000100628"
"919","ENSG00000100629"
"920","ENSG00000100647"
"921","ENSG00000100664"
"922","ENSG00000100697"
"923","ENSG00000100711"
"924","ENSG00000100714"
"925","ENSG00000100722"
"926","ENSG00000100726"
"927","ENSG00000100739"
"928","ENSG00000100784"
"929","ENSG00000100796"
"930","ENSG00000100802"
"931","ENSG00000100813"
"932","ENSG00000100814"
"933","ENSG00000100836"
"934","ENSG00000100842"
"935","ENSG00000100852"
"936","ENSG00000100906"
"937","ENSG00000100916"
"938","ENSG00000100934"
"939","ENSG00000100949"
"940","ENSG00000100982"
"941","ENSG00000100991"
"942","ENSG00000100994"
"943","ENSG00000101017"
"944","ENSG00000101019"
"945","ENSG00000101096"
"946","ENSG00000101134"
"947","ENSG00000101144"
"948","ENSG00000101150"
"949","ENSG00000101191"
"950","ENSG00000101194"
"951","ENSG00000101199"
"952","ENSG00000101216"
"953","ENSG00000101220"
"954","ENSG00000101224"
"955","ENSG00000101246"
"956","ENSG00000101247"
"957","ENSG00000101265"
"958","ENSG00000101282"
"959","ENSG00000101307"
"960","ENSG00000101311"
"961","ENSG00000101333"
"962","ENSG00000101347"
"963","ENSG00000101353"
"964","ENSG00000101363"
"965","ENSG00000101365"
"966","ENSG00000101384"
"967","ENSG00000101391"
"968","ENSG00000101400"
"969","ENSG00000101442"
"970","ENSG00000101452"
"971","ENSG00000101460"
"972","ENSG00000101473"
"973","ENSG00000101544"
"974","ENSG00000101546"
"975","ENSG00000101574"
"976","ENSG00000101577"
"977","ENSG00000101596"
"978","ENSG00000101639"
"979","ENSG00000101654"
"980","ENSG00000101665"
"981","ENSG00000101670"
"982","ENSG00000101695"
"983","ENSG00000101745"
"984","ENSG00000101751"
"985","ENSG00000101782"
"986","ENSG00000101856"
"987","ENSG00000101871"
"988","ENSG00000101974"
"989","ENSG00000101986"
"990","ENSG00000102001"
"991","ENSG00000102003"
"992","ENSG00000102024"
"993","ENSG00000102030"
"994","ENSG00000102032"
"995","ENSG00000102043"
"996","ENSG00000102048"
"997","ENSG00000102078"
"998","ENSG00000102081"
"999","ENSG00000102096"
"1000","ENSG00000102098"
"1001","ENSG00000102103"
"1002","ENSG00000102109"
"1003","ENSG00000102119"
"1004","ENSG00000102181"
"1005","ENSG00000102189"
"1006","ENSG00000102230"
"1007","ENSG00000102243"
"1008","ENSG00000102245"
"1009","ENSG00000102271"
"1010","ENSG00000102312"
"1011","ENSG00000102317"
"1012","ENSG00000102359"
"1013","ENSG00000102362"
"1014","ENSG00000102383"
"1015","ENSG00000102401"
"1016","ENSG00000102409"
"1017","ENSG00000102445"
"1018","ENSG00000102452"
"1019","ENSG00000102466"
"1020","ENSG00000102531"
"1021","ENSG00000102547"
"1022","ENSG00000102554"
"1023","ENSG00000102572"
"1024","ENSG00000102595"
"1025","ENSG00000102710"
"1026","ENSG00000102738"
"1027","ENSG00000102755"
"1028","ENSG00000102760"
"1029","ENSG00000102781"
"1030","ENSG00000102786"
"1031","ENSG00000102804"
"1032","ENSG00000102805"
