"","TCGA-A2-A04P-01","TCGA-A2-A0CW-01","TCGA-A2-A0T5-01","TCGA-A7-A5ZW-01","TCGA-A8-A06T-01","TCGA-A8-A081-01","TCGA-A8-A08F-01","TCGA-AN-A046-01","TCGA-AN-A0AS-01","TCGA-AR-A1AM-01","TCGA-B6-A0IJ-01","TCGA-BH-A0HF-01","TCGA-C8-A12Q-01","TCGA-E2-A10C-01","TCGA-E2-A15P-01","TCGA-E2-A1LS-01","TCGA-E9-A249-01"
"GTEX-R53T-1526-SM-48FEK",-0.0418040293040293,0.181730769230769,0.0450549450549451,0.28228021978022,0.228021978021978,0.225045787545788,0.143818681318681,0.0278388278388278,0.120650183150183,0.455815018315018,0.0112637362637363,0.284203296703297,0.476098901098901,0.233882783882784,0.504807692307692,0.0636904761904762,0.195650183150183
"GTEX-RU1J-0626-SM-4WAWY",0.161492673992674,0.174084249084249,0.216849816849817,0.290338827838828,0.252335164835165,0.312820512820513,0.0452380952380952,0.0135989010989011,0.00517399267399267,0.59253663003663,0.329304029304029,0.228159340659341,0.47293956043956,0.326602564102564,0.534981684981685,0.191300366300366,0.272481684981685
"GTEX-RU72-0626-SM-46MUI",0.122620451249463,0.11955265056473,0.247896610554366,0.387939422408915,0.200940944849988,0.228619833117464,0.0177199830595751,0.0189791549824131,0.0036859396286713,0.60470014541674,0.130518893310901,0.304170148487745,0.408841676328026,0.255589006301158,0.500852802835044,0.18113760460899,0.263853752921968
"GTEX-S32W-2026-SM-4AD6E",0.0637362637362637,0.0967490842490842,-0.153388278388278,0.0619047619047619,0.0154761904761905,0.0455586080586081,0.0861263736263736,0.00100732600732601,0.0961996336996337,0.0231684981684982,0.127152014652015,0.029532967032967,0.216254578754579,0.0630494505494505,0.0929487179487179,-0.0293498168498168,-0.0161630036630037
"GTEX-S341-1526-SM-4AD6K",0.0887362637362637,0.230448717948718,0.320238095238095,0.480677655677656,0.344001831501832,0.371932234432234,0.155586080586081,0.130357142857143,0.106181318681319,0.748397435897436,0.0410714285714286,0.383150183150183,0.595650183150183,0.464789377289377,0.705677655677656,0.159294871794872,0.418956043956044
"GTEX-S4UY-0726-SM-4AD6X",0.048489010989011,0.137362637362637,0.120100732600733,0.223397435897436,0.251739926739927,0.256501831501831,-0.0197344322344322,-0.0043040293040293,-0.00764652014652015,0.512042124542124,0.0485805860805861,0.256043956043956,0.467032967032967,0.230769230769231,0.56231684981685,0.289239926739927,0.307967032967033
"GTEX-SE5C-2126-SM-4BRUJ",0.202152014652015,0.271565934065934,0.30521978021978,0.339468864468864,0.25503663003663,0.224725274725275,0.131501831501832,0.111080586080586,0.204899267399267,0.51753663003663,0.216300366300366,0.378342490842491,0.465659340659341,0.306043956043956,0.50728021978022,0.251144688644689,0.278388278388278
"GTEX-T5JW-2026-SM-4DM63",0.176282051282051,0.283928571428571,0.325869963369963,0.487408424908425,0.275686813186813,0.308104395604396,0.217032967032967,0.097985347985348,0.190659340659341,0.599496336996337,0.131868131868132,0.325320512820513,0.544642857142857,0.38282967032967,0.541575091575092,0.13264652014652,0.325915750915751
"GTEX-T6MO-0326-SM-32QOK",0.0629120879120879,0.164331501831502,0.153021978021978,0.260485347985348,0.230265567765568,0.261446886446886,-0.00114468864468864,0.0322802197802198,0.0581501831501831,0.437225274725275,0.170924908424908,0.26474358974359,0.523168498168498,0.191849816849817,0.528296703296703,0.335485347985348,0.309249084249084
"GTEX-TML8-1226-SM-32QON",0.0783424908424908,0.0836996336996337,0.100503663003663,0.377655677655678,0.184844322344322,0.270924908424908,-0.00260989010989011,-0.00915750915750916,-0.0208333333333333,0.521428571428571,0.105860805860806,0.255631868131868,0.508745421245421,0.269551282051282,0.526144688644689,0.237225274725275,0.249771062271062
